,TraceId, Cost_DISTANCE, ExecutionTime_DISTANCE, Cost_TRIE_STREAMING_fix1_x, ExecutionTime_TRIE_STREAMING_fix1_x, Cost_TRIE_STREAMING_fix1_y, ExecutionTime_TRIE_STREAMING_fix1_y, Cost_TRIE_STREAMING_fix1, ExecutionTime_TRIE_STREAMING_fix1, Cost_TRIE_STREAMING_fix3_x, ExecutionTime_TRIE_STREAMING_fix3_x, Cost_TRIE_STREAMING_fix3_y, ExecutionTime_TRIE_STREAMING_fix3_y, Cost_TRIE_STREAMING_fix3, ExecutionTime_TRIE_STREAMING_fix3, Cost_TRIE_STREAMING_fix5_x, ExecutionTime_TRIE_STREAMING_fix5_x, Cost_TRIE_STREAMING_fix5_y, ExecutionTime_TRIE_STREAMING_fix5_y, Cost_TRIE_STREAMING_fix5, ExecutionTime_TRIE_STREAMING_fix5, Cost_TRIE_STREAMING_disc1_x, ExecutionTime_TRIE_STREAMING_disc1_x, Cost_TRIE_STREAMING_disc1_y, ExecutionTime_TRIE_STREAMING_disc1_y, Cost_TRIE_STREAMING_disc1, ExecutionTime_TRIE_STREAMING_disc1, Cost_TRIE_STREAMING_disc3_x, ExecutionTime_TRIE_STREAMING_disc3_x, Cost_TRIE_STREAMING_disc3_y, ExecutionTime_TRIE_STREAMING_disc3_y, Cost_TRIE_STREAMING_disc3, ExecutionTime_TRIE_STREAMING_disc3, Cost_TRIE_STREAMING_disc5_x, ExecutionTime_TRIE_STREAMING_disc5_x, Cost_TRIE_STREAMING_disc5_y, ExecutionTime_TRIE_STREAMING_disc5_y, Cost_TRIE_STREAMING_disc5, ExecutionTime_TRIE_STREAMING_disc5
39,39,2,3,2,1,2,0,2,1,2,2,2,1,2,1,2,1,2,1,2,0,2,1,2,1,2,0,2,1,2,1,2,1,2,0,2,1,2,1
40,40,5,3,10,0,10,1,10,0,8,1,8,1,8,0,8,0,8,1,8,1,10,2,10,1,10,1,8,0,8,0,8,0,8,1,8,0,8,1
41,41,3,2,10,1,10,0,10,0,3,2,3,0,3,1,3,1,3,0,3,1,10,0,10,1,10,0,3,0,3,1,3,1,3,1,3,1,3,0
42,42,8,7,8,4,8,3,8,4,8,4,8,5,8,4,8,3,8,4,8,4,8,6,8,5,8,3,8,4,8,3,8,3,8,4,8,3,8,3
43,43,4,6,12,0,12,1,12,1,4,2,4,1,4,1,4,1,4,1,4,1,12,1,12,1,12,1,4,1,4,1,4,1,4,1,4,0,4,1
44,44,1,2,5,0,5,0,5,0,1,1,1,0,1,0,1,0,1,0,1,1,5,1,5,0,5,0,1,0,1,0,1,0,1,1,1,1,1,0
45,45,4,3,12,1,12,0,12,1,12,1,12,1,12,0,12,0,12,1,12,1,12,0,12,1,12,1,12,1,12,0,12,0,12,0,12,0,12,1
46,46,3,3,8,0,8,1,8,0,3,1,3,0,3,1,3,1,3,0,3,1,8,1,8,0,8,0,3,0,3,1,3,1,3,1,3,1,3,0
47,47,7,3,7,1,7,0,7,1,7,3,7,2,7,1,7,2,7,2,7,2,7,2,7,2,7,1,7,1,7,1,7,1,7,2,7,1,7,2
48,48,23,21,33,5,33,7,33,6,35,16,35,13,35,10,35,14,35,15,35,17,33,9,33,10,33,6,35,10,35,14,35,16,35,18,35,15,35,15
49,49,5,6,9,1,9,1,9,1,5,1,5,1,5,1,5,2,5,1,5,1,9,1,9,2,9,0,5,2,5,1,5,1,5,1,5,1,5,1
50,50,3,2,9,0,9,1,9,0,5,1,5,1,5,1,5,0,5,1,5,1,9,1,9,1,9,1,5,0,5,1,5,1,5,1,5,1,5,0
51,51,4,4,7,6,7,6,7,8,7,17,7,11,7,13,4,1,4,1,4,1,7,11,7,11,7,7,7,11,7,13,7,12,4,1,4,1,4,1
52,52,3,4,3,1,3,1,3,0,3,0,3,1,3,1,3,1,3,0,3,1,3,1,3,1,3,1,3,0,3,0,3,1,3,0,3,1,3,1
53,53,3,3,3,1,3,1,3,1,3,1,3,1,3,0,3,0,3,1,3,1,3,1,3,1,3,0,3,1,3,1,3,1,3,1,3,0,3,0
54,54,3,4,10,0,10,0,10,1,6,1,6,1,6,1,6,1,6,1,6,1,10,1,10,1,10,1,6,1,6,0,6,0,6,1,6,1,6,1
55,55,16,15,21,10,21,13,21,11,21,23,21,21,21,20,21,22,21,22,21,35,21,21,21,21,21,11,21,18,21,22,21,20,21,28,21,24,21,23
56,56,16,8,22,9,22,2,22,2,22,6,22,4,22,4,22,6,22,13,22,6,22,3,22,3,22,3,22,4,22,4,22,4,22,7,22,5,22,6
57,57,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,58,5,4,8,0,8,1,8,0,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,2,8,1,8,0,8,1,8,1,8,1,8,1,8,1
59,59,5,4,10,1,10,0,10,1,8,0,8,0,8,0,8,0,8,1,8,0,10,0,10,0,10,0,8,1,8,0,8,0,8,1,8,0,8,0
60,60,7,4,9,0,9,1,9,0,9,2,9,2,9,3,9,1,9,1,9,2,9,1,9,1,9,1,9,1,9,2,9,1,9,2,9,2,9,2
61,61,6,4,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,2
62,62,2,2,5,0,5,1,5,0,5,1,5,1,5,0,2,1,2,0,2,0,5,1,5,0,5,0,5,0,5,0,5,0,2,0,2,0,2,0
63,63,28,34,46,9,46,12,46,12,28,315,28,255,28,270,38,31,38,32,38,36,46,19,46,19,46,12,28,245,28,278,28,273,38,38,38,31,38,32
64,64,9,7,15,2,15,4,15,1,15,3,15,2,15,3,15,3,15,3,15,4,15,4,15,3,15,1,15,2,15,2,15,3,15,4,15,4,15,3
65,65,4,9,4,0,4,1,4,1,4,1,4,1,4,0,4,1,4,1,4,1,4,1,4,0,4,1,4,0,4,1,4,0,4,1,4,0,4,1
66,66,3,3,4,1,4,4,4,1,4,1,4,1,4,2,4,0,4,1,4,1,4,2,4,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1
67,67,3,3,3,0,3,0,3,0,3,0,3,0,3,0,3,1,3,0,3,0,3,0,3,0,3,0,3,1,3,1,3,1,3,0,3,1,3,0
68,68,7,3,11,0,11,1,11,0,9,1,9,1,9,1,11,1,11,1,11,1,11,1,11,1,11,1,9,0,9,0,9,0,11,1,11,0,11,1
69,69,3,4,19,1,19,1,19,1,3,0,3,0,3,1,3,1,3,1,3,1,19,1,19,1,19,0,3,1,3,1,3,1,3,1,3,1,3,0
70,70,5,4,10,1,10,1,10,1,10,2,10,2,10,3,8,2,8,3,8,2,10,3,10,2,10,1,10,1,10,2,10,1,8,3,8,3,8,3
71,71,2,4,2,0,2,1,2,1,2,1,2,0,2,1,2,0,2,0,2,1,2,1,2,1,2,1,2,1,2,0,2,1,2,1,2,0,2,0
72,72,10,6,13,3,13,9,13,2,13,9,13,7,13,11,13,8,13,9,13,10,13,6,13,5,13,3,13,8,13,10,13,7,13,10,13,8,13,9
73,73,0,6,0,0,0,4,0,1,0,1,0,1,0,2,0,1,0,1,0,1,0,2,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1
74,74,2,5,2,1,2,2,2,1,2,1,2,0,2,1,2,1,2,0,2,0,2,1,2,1,2,0,2,0,2,0,2,1,2,1,2,1,2,0
75,75,2,4,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,1,2,1,2,0,2,1,2,0,2,0,2,0,2,0,2,0,2,0
76,76,2,2,2,0,2,0,2,1,2,0,2,0,2,1,2,0,2,1,2,0,2,1,2,0,2,0,2,1,2,1,2,1,2,0,2,1,2,1
77,77,2,1,11,0,11,1,11,0,2,0,2,1,2,0,2,1,2,0,2,0,11,0,11,0,11,0,2,0,2,0,2,0,2,0,2,0,2,0
78,78,5,2,7,1,7,1,7,0,6,1,6,0,6,0,6,0,6,0,6,1,7,0,7,1,7,0,6,0,6,1,6,0,6,1,6,0,6,0
79,79,2,2,8,0,8,1,8,1,4,0,4,1,4,1,2,0,2,1,2,0,8,1,8,0,8,1,4,1,4,0,4,1,2,1,2,1,2,1
80,80,3,3,3,0,3,0,3,0,3,1,3,0,3,0,3,1,3,0,3,1,3,1,3,1,3,1,3,0,3,1,3,0,3,0,3,0,3,0
81,81,10,7,14,3,14,4,14,2,14,3,14,2,14,2,14,2,14,2,14,2,14,4,14,3,14,2,14,3,14,4,14,2,14,4,14,3,14,3
