TraceId, Cost_TRIE_STREAMING, ExecutionTime_TRIE_STREAMING,TraceId,Cost,Time
601,28,17,601,28,48
602,22,1,602,18,46
603,31,13,603,24,73
604,68,31,604,68,339
605,47,25,605,47,160
606,23,7,606,14,29
607,12,2,607,2,7
608,38,6,608,38,79
609,48,27,609,48,155
610,22,5,610,22,31
611,51,30,611,51,182
612,23,5,612,23,37
613,34,13,613,34,86
614,20,6,614,20,72
615,47,17,615,47,191
616,14,0,616,2,12
617,24,9,617,24,52
618,52,20,618,52,156
619,40,8,619,40,197
620,21,10,620,16,70
621,20,6,621,20,35
622,31,8,622,31,59
623,58,22,623,58,225
624,18,0,624,18,70
625,20,15,625,16,65
626,29,4,626,29,80
627,71,42,627,71,487
628,14,0,628,15,38
629,27,0,629,27,65
630,18,0,630,18,46
631,63,45,631,63,363
632,16,6,632,16,44
633,33,11,633,23,105
634,22,4,634,22,31
635,33,9,635,33,78
636,8,0,636,8,9
637,29,12,637,25,118
638,41,13,638,41,172
639,68,34,639,68,379
640,31,11,640,23,81
641,47,14,641,47,151
642,51,23,642,51,158
643,37,12,643,37,79
644,40,15,644,40,80
645,60,46,645,60,297
646,11,3,646,11,9
647,35,17,647,25,94
648,33,15,648,33,77
649,27,8,649,27,41
650,45,30,650,45,153
651,46,29,651,46,147
652,20,10,652,20,48
653,20,5,653,20,33
654,46,27,654,46,131
655,39,18,655,32,139
656,40,20,656,40,90
657,13,3,657,13,11
658,24,9,658,16,62
659,67,37,659,67,322
660,20,2,660,20,25
661,12,5,661,13,23
662,16,5,662,16,34
663,29,4,663,22,59
664,52,28,664,52,209
665,167,280,665,167,2909
666,46,38,666,46,111
667,12,3,667,4,10
668,26,6,668,26,34
669,30,11,669,30,37
670,10,0,670,4,9
671,42,34,671,42,97
672,26,0,672,2,21
673,35,21,673,35,62
674,28,13,674,28,46
675,17,16,675,17,33
676,18,5,676,3,16
677,40,17,677,40,117
678,26,10,678,26,50
679,21,5,679,21,34
680,6,2,680,6,6
681,14,4,681,14,44
682,94,94,682,94,901
683,19,5,683,19,24
684,42,23,684,42,136
685,54,32,685,54,226
686,46,23,686,46,158
687,32,14,687,32,73
688,33,10,688,33,74
689,43,23,689,43,128
690,35,2,690,35,76
691,28,26,691,24,65
692,26,2,692,26,41
693,61,47,693,61,301
694,21,6,694,14,31
695,79,77,695,79,499
696,68,54,696,68,336
697,34,16,697,34,71
698,15,14,698,15,26
699,74,40,699,74,470
700,44,23,700,44,137
701,35,10,701,35,92
702,16,12,702,12,24
703,18,2,703,18,16
704,15,0,704,15,14
705,49,22,705,49,95
706,23,3,706,23,36
707,18,6,707,18,17
708,16,2,708,16,19
709,29,0,709,29,60
710,28,4,710,28,44
711,44,7,711,44,123
712,34,14,712,34,47
713,26,0,713,26,37
714,26,19,714,26,42
715,50,25,715,50,141
716,56,25,716,56,246
717,10,1,717,10,7
718,24,5,718,24,29
719,44,8,719,44,130
720,58,18,720,58,262
721,14,16,721,14,21
722,70,46,722,70,372
723,38,16,723,38,56
724,20,13,724,12,32
725,43,17,725,43,111
726,28,2,726,18,59
727,8,8,727,8,13
728,78,38,728,78,384
729,77,59,729,77,425
730,57,39,730,57,198
731,30,0,731,30,43
732,35,25,732,35,58
733,44,25,733,44,134
734,9,1,734,9,7
735,53,24,735,53,183
736,21,0,736,21,26
737,17,16,737,13,33
738,10,3,738,3,6
739,38,13,739,38,65
740,52,27,740,52,182
741,28,1,741,20,58
742,26,0,742,26,41
743,25,19,743,25,33
744,22,3,744,2,16
745,38,17,745,38,96
746,65,48,746,65,275
747,14,0,747,10,17
748,26,0,748,26,39
749,39,21,749,39,89
750,44,28,750,44,130
751,29,9,751,29,50
752,74,46,752,74,466
753,50,18,753,50,177
754,42,17,754,42,72
755,21,4,755,14,34
756,57,27,756,57,230
757,57,25,757,57,245
758,36,8,758,36,49
759,36,16,759,36,56
760,18,1,760,18,29
761,60,33,761,60,148
762,50,25,762,50,129
763,45,22,763,45,157
764,26,11,764,26,44
765,12,2,765,12,9
766,28,2,766,28,47
767,21,7,767,21,28
768,30,0,768,30,61
769,46,27,769,46,147
770,27,8,770,27,40
771,26,10,771,26,40
772,40,23,772,40,85
773,72,37,773,72,410
774,92,79,774,92,675
775,52,31,775,52,172
776,18,5,776,18,18
777,65,39,777,65,401
778,66,45,778,66,416
779,30,3,779,30,86
780,44,13,780,44,134
781,36,17,781,36,91
782,31,15,782,31,61
783,13,7,783,14,27
784,50,16,784,50,147
785,35,17,785,35,76
786,48,19,786,48,169
787,38,12,787,38,99
788,24,6,788,24,33
789,53,19,789,53,187
790,39,17,790,39,93
791,25,6,791,20,53
792,42,14,792,42,107
793,17,4,793,17,18
794,12,2,794,12,20
795,62,26,795,62,327
796,45,15,796,45,154
797,32,10,797,32,56
798,130,144,798,130,1520
799,16,2,799,16,17
800,16,6,800,16,28
801,48,22,801,48,174
802,26,1,802,26,43
803,43,22,803,43,113
804,32,11,804,32,62
805,60,31,805,60,200
806,95,82,806,95,722
807,25,8,807,25,38
808,27,7,808,23,61
809,75,48,809,75,486
810,19,0,810,20,44
811,43,24,811,43,130
812,36,18,812,36,98
813,17,3,813,17,18
814,54,18,814,54,230
815,20,17,815,20,43
816,44,10,816,44,140
817,26,0,817,26,43
818,54,35,818,54,125
819,47,18,819,47,104
820,42,19,820,42,117
821,60,39,821,60,363
822,27,9,822,20,55
823,32,9,823,32,61
824,41,25,824,41,121
825,68,60,825,68,345
826,38,12,826,38,128
827,45,21,827,45,150
828,22,5,828,22,27
829,34,8,829,34,61
830,67,33,830,67,380
831,22,19,831,22,23
832,36,14,832,36,88
833,43,19,833,43,123
834,38,20,834,38,91
835,20,6,835,20,21
836,14,5,836,14,15
837,55,38,837,55,202
838,50,19,838,50,169
839,24,0,839,24,37
840,67,49,840,67,326
841,41,21,841,41,87
842,42,4,842,42,104
843,68,38,843,68,341
844,56,38,844,56,250
845,124,147,845,124,1456
846,52,25,846,52,146
847,27,9,847,16,54
848,39,13,848,39,155
849,51,23,849,51,180
850,91,79,850,91,851
851,19,5,851,12,30
852,46,21,852,46,217
853,58,28,853,58,344
854,28,14,854,28,59
855,48,25,855,48,116
856,38,14,856,38,115
857,20,4,857,20,31
858,46,8,858,46,96
859,18,0,859,18,21
860,35,30,860,35,121
